"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million"
"132","MAR","Africa","Morocco","2020-10-20",175749,2117,3141.143,2976,48,48.571,4761.483,57.355,85.101,80.627,1.3,1.316
"133","MOZ","Africa","Mozambique","2020-10-20",11080,214,141.714,75,0,0.429,354.498,6.847,4.534,2.4,0,0.014
"134","MMR","Asia","Myanmar","2020-10-20",37205,1180,1127.286,914,34,35.714,683.792,21.687,20.718,16.798,0.625,0.656
"135","NAM","Africa","Namibia","2020-10-20",12326,33,48.143,131,0,0.286,4851.006,12.987,18.947,51.556,0,0.112
"136","NPL","Asia","Nepal","2020-10-20",136036,3790,3462,757,18,16,4668.871,130.076,118.819,25.981,0.618,0.549
"137","NLD","Europe","Netherlands","2020-10-20",235954,7720,7808.571,6759,8,24.571,13770.397,450.543,455.712,394.459,0.467,1.434
"138","NCL","Oceania","New Caledonia","2020-10-20",27,0,0,NA,0,0,94.574,0,0,NA,0,0
"139","NZL","Oceania","New Zealand","2020-10-20",1531,1,2.143,25,0,0,317.488,0.207,0.444,5.184,0,0
"140","NIC","North America","Nicaragua","2020-10-20",5353,0,12.714,154,0,0.143,808.054,0,1.919,23.247,0,0.022
"141","NER","Africa","Niger","2020-10-20",1211,1,1.286,69,0,0,50.028,0.041,0.053,2.85,0,0
"142","NGA","Africa","Nigeria","2020-10-20",61558,118,161.143,1125,0,1.429,298.623,0.572,0.782,5.457,0,0.007
"143","MNP","Oceania","Northern Mariana Islands","2020-10-20",88,2,1.571,2,0,0,1528.919,34.748,27.302,34.748,0,0
"144","NOR","Europe","Norway","2020-10-20",16456,320,133.143,278,0,0.286,3035.467,59.027,24.559,51.28,0,0.053
"145","OMN","Asia","Oman","2020-10-20",110594,641,574.143,1114,13,9.714,21656.978,125.523,112.431,218.148,2.546,1.902
"146","PAK","Asia","Pakistan","2020-10-20",323452,0,514.857,6659,0,10.143,1464.297,0,2.331,30.146,0,0.046
